n,b,sample_size,start,stop,treedist
n,b,sample_size,start,stop,treedist
1,0,25,0,100,4.492989e+01
1,0,25,50,150,1.444034e+01
1,0,25,100,200,5.924984e+00
1,0,25,150,250,2.447403e+00
1,0,25,200,300,3.766758e+00
1,0,25,250,350,6.153788e+00
1,0,25,300,400,1.828911e+00
1,0,25,350,450,1.834386e+00
1,0,25,400,500,1.841206e+00
1,0,25,450,550,1.330212e+00
1,0,25,500,600,1.748208e+00
1,0,25,550,650,1.680018e+00
1,0,25,600,700,1.656748e+00
1,0,25,650,750,1.428417e+00
1,0,25,700,800,7.453926e-01
1,0,25,750,850,1.761660e+00
1,0,25,800,900,1.015645e+00
1,0,25,850,950,2.105660e+00
2,1,25,0,100,4.463866e+00
2,1,25,50,150,2.373156e+00
2,1,25,100,200,1.160844e+00
2,1,25,150,250,1.714785e+00
2,1,25,200,300,3.121630e+00
2,1,25,250,350,2.047738e+00
2,1,25,300,400,1.868736e+00
2,1,25,350,450,2.035003e+00
2,1,25,400,500,2.036985e+00
2,1,25,450,550,1.299801e+00
2,1,25,500,600,1.466617e+00
2,1,25,550,650,1.969767e+00
2,1,25,600,700,1.785359e+00
2,1,25,650,750,1.395606e+00
2,1,25,700,800,7.752733e-01
2,1,25,750,850,5.907289e-01
2,1,25,800,900,5.961821e-01
2,1,25,850,950,6.649924e-01
3,2,25,0,100,4.089696e+00
3,2,25,50,150,2.429193e+00
3,2,25,100,200,2.360151e+00
3,2,25,150,250,2.837710e+00
3,2,25,200,300,2.499655e+00
3,2,25,250,350,2.972973e+00
3,2,25,300,400,1.984324e+00
3,2,25,350,450,2.489565e+00
3,2,25,400,500,2.490010e+00
3,2,25,450,550,2.345648e+00
3,2,25,500,600,2.690552e+00
3,2,25,550,650,2.478121e+00
3,2,25,600,700,1.950073e+00
3,2,25,650,750,1.054705e+00
3,2,25,700,800,1.342377e+00
3,2,25,750,850,1.009260e+00
3,2,25,800,900,1.453882e+00
3,2,25,850,950,1.781819e+00
4,3,25,0,100,1.886998e+00
4,3,25,50,150,7.954185e-01
4,3,25,100,200,8.056851e-01
4,3,25,150,250,1.266357e+00
4,3,25,200,300,2.189333e+00
4,3,25,250,350,2.123687e+00
4,3,25,300,400,2.066683e+00
4,3,25,350,450,2.237979e+00
4,3,25,400,500,2.237187e+00
4,3,25,450,550,2.867662e+00
4,3,25,500,600,3.124085e+00
4,3,25,550,650,5.524964e+00
4,3,25,600,700,3.070623e+00
4,3,25,650,750,2.011431e+00
4,3,25,700,800,3.142599e+00
4,3,25,750,850,2.206357e+00
4,3,25,800,900,2.579830e+00
4,3,25,850,950,8.278353e+00
5,4,25,0,100,1.772747e+01
5,4,25,50,150,1.078059e+01
5,4,25,100,200,2.583038e+00
5,4,25,150,250,2.726835e+00
5,4,25,200,300,2.121518e+00
5,4,25,250,350,1.809452e+00
5,4,25,300,400,2.081604e+00
5,4,25,350,450,1.975376e+00
5,4,25,400,500,1.970630e+00
5,4,25,450,550,1.468525e+00
5,4,25,500,600,2.015752e+00
