n,b,sample_size,start,stop,treedist
1,0,25,0,100,4.49E+01
2,0,25,50,150,1.44E+01
3,0,25,100,200,5.92E+00
4,0,25,150,250,2.45E+00
5,0,25,200,300,3.77E+00
6,0,25,250,350,6.15E+00
7,0,25,300,400,1.83E+00
8,0,25,350,450,1.83E+00
9,0,25,400,500,1.84E+00
10,0,25,450,550,1.33E+00
11,0,25,500,600,1.75E+00
12,0,25,550,650,1.68E+00
13,0,25,600,700,1.66E+00
14,0,25,650,750,1.43E+00
15,0,25,700,800,7.45E-01
16,0,25,750,850,1.76E+00
17,0,25,800,900,1.02E+00
18,0,25,850,950,2.11E+00
19,1,25,0,100,4.46E+00
20,1,25,50,150,2.37E+00
21,1,25,100,200,1.16E+00
22,1,25,150,250,1.71E+00
23,1,25,200,300,3.12E+00
24,1,25,250,350,2.05E+00
25,1,25,300,400,1.87E+00
26,1,25,350,450,2.04E+00
27,1,25,400,500,2.04E+00
28,1,25,450,550,1.30E+00
29,1,25,500,600,1.47E+00
30,1,25,550,650,1.97E+00
31,1,25,600,700,1.79E+00
32,1,25,650,750,1.40E+00
33,1,25,700,800,7.75E-01
34,1,25,750,850,5.91E-01
35,1,25,800,900,5.96E-01
36,1,25,850,950,6.65E-01
37,2,25,0,100,4.09E+00
38,2,25,50,150,2.43E+00
39,2,25,100,200,2.36E+00
40,2,25,150,250,2.84E+00
41,2,25,200,300,2.50E+00
42,2,25,250,350,2.97E+00
43,2,25,300,400,1.98E+00
44,2,25,350,450,2.49E+00
45,2,25,400,500,2.49E+00
46,2,25,450,550,2.35E+00
47,2,25,500,600,2.69E+00
48,2,25,550,650,2.48E+00
49,2,25,600,700,1.95E+00
50,2,25,650,750,1.05E+00
51,2,25,700,800,1.34E+00
52,2,25,750,850,1.01E+00
53,2,25,800,900,1.45E+00
54,2,25,850,950,1.78E+00
55,3,25,0,100,1.89E+00
56,3,25,50,150,7.95E-01
57,3,25,100,200,8.06E-01
58,3,25,150,250,1.27E+00
59,3,25,200,300,2.19E+00
60,3,25,250,350,2.12E+00
61,3,25,300,400,2.07E+00
62,3,25,350,450,2.24E+00
63,3,25,400,500,2.24E+00
64,3,25,450,550,2.87E+00
65,3,25,500,600,3.12E+00
66,3,25,550,650,5.52E+00
67,3,25,600,700,3.07E+00
68,3,25,650,750,2.01E+00
69,3,25,700,800,3.14E+00
70,3,25,750,850,2.21E+00
71,3,25,800,900,2.58E+00
72,3,25,850,950,8.28E+00
73,4,25,0,100,1.77E+01
74,4,25,50,150,1.08E+01
75,4,25,100,200,2.58E+00
76,4,25,150,250,2.73E+00
77,4,25,200,300,2.12E+00
78,4,25,250,350,1.81E+00
79,4,25,300,400,2.08E+00
80,4,25,350,450,1.98E+00
81,4,25,400,500,1.97E+00
82,4,25,450,550,1.47E+00
83,4,25,500,600,2.02E+00
84,4,25,550,650,1.98E+00
